ID	Income	Dt_Customer	Recency	MntWines	MntFruits	MntMeatProducts	MntFishProducts	MntSweetProducts	MntGoldProds	NumDealsPurchases	NumWebPurchases	NumCatalogPurchases	NumStorePurchases	NumWebVisitsMonth	AcceptedCmp3	AcceptedCmp4	AcceptedCmp5	AcceptedCmp1	AcceptedCmp2	Complain	Response	Age	Marital_Categories	Edu_Categories	Spent_Total	Living_Alone	AcceptedOffer
5524	58138.0	734750	58	635	88	546	172	88	88	3	8	10	4	7	0	0	0	0	0	0	1	58	0	1	1617	0	1
2174	46344.0	735300	38	11	1	6	2	1	6	2	1	1	2	5	0	0	0	0	0	0	0	61	0	1	27	2	0
4141	71613.0	735101	26	426	49	127	111	21	42	1	8	2	10	4	0	0	0	0	0	0	0	50	1	1	776	1	0
6182	26646.0	735274	26	11	4	20	10	3	5	2	2	0	4	6	0	0	0	0	0	0	0	31	1	1	53	2	0
5324	58293.0	735252	94	173	43	118	46	27	15	5	5	3	6	5	0	0	0	0	0	0	0	34	1	3	422	2	0
7446	62513.0	735120	16	520	42	98	0	42	14	2	6	4	10	6	0	0	0	0	0	0	0	48	1	2	716	2	0
965	55635.0	734820	34	235	65	164	50	49	27	4	7	3	7	6	0	0	0	0	0	0	0	44	0	1	590	1	0
6177	33454.0	734996	32	76	10	56	3	1	23	2	4	0	4	8	0	0	0	0	0	0	0	30	1	3	169	2	0
4855	30351.0	735025	19	14	0	24	3	3	2	1	3	0	2	9	0	0	0	0	0	0	1	41	1	3	46	2	1
5899	5648.0	735305	68	28	0	6	1	1	13	1	1	0	0	20	1	0	0	0	0	0	0	65	1	3	49	3	1
387	7500.0	734820	59	6	16	11	11	1	16	1	2	0	3	8	0	0	0	0	0	0	0	39	1	0	61	1	0
2125	63033.0	735187	82	194	61	480	225	112	30	1	3	4	8	2	0	0	0	0	0	0	0	56	0	1	1102	0	0
8180	59354.0	735187	53	233	2	53	3	5	14	3	6	1	5	6	0	0	0	0	0	0	0	63	0	2	310	2	0
2569	17323.0	734786	38	3	14	17	6	1	5	1	1	0	3	8	0	0	0	0	0	0	0	28	1	1	46	1	0
2114	82800.0	734831	23	1006	22	115	59	68	45	1	7	6	12	3	0	0	1	1	0	0	1	69	0	3	1315	0	3
9736	41850.0	734861	51	53	5	19	2	13	4	3	3	0	3	8	0	0	0	0	0	0	0	35	1	1	96	3	0
4939	37760.0	734746	20	84	5	38	150	12	28	2	4	1	6	7	0	0	0	0	0	0	0	69	1	1	317	1	0
6565	76995.0	734955	91	1012	80	498	0	16	176	2	11	4	9	5	0	0	0	1	0	0	0	66	1	2	1782	2	1
2278	33812.0	734810	86	4	17	19	30	24	39	2	2	1	3	6	0	0	0	0	0	0	0	30	0	2	133	1	0
9360	37040.0	734723	41	86	2	73	69	38	48	1	4	2	5	8	0	0	0	0	0	0	0	33	1	1	316	1	0
5376	2447.0	734874	42	1	1	1725	1	1	1	15	0	28	0	1	0	0	0	0	0	0	0	36	1	1	1730	2	0
1993	58607.0	734860	63	867	0	86	0	0	19	3	2	3	9	8	0	1	0	0	0	0	0	66	1	3	972	2	1
4047	65324.0	735244	0	384	0	102	21	32	5	3	6	2	9	4	0	0	0	0	0	0	0	61	1	3	544	2	0
